Device,Assay,Time (UTC),Sample Numb.,Activity,Act(raw),Act(offset),Transmission(%),Sample Notes,Notes,Descr,origin,overall_dq_check
Leander,GUS,08/11/2025 0:27,1,5.8,9.428,3.623,81.91,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 2:27,1,5.54,9.159,3.623,81.91,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 3:27,1,5.53,9.154,3.623,81.86,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 4:27,1,5.38,9.002,3.623,81.76,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 5:27,1,5.24,8.861,3.623,81.55,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 6:27,1,5.14,8.765,3.623,81.72,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 7:27,1,5.4,9.023,3.623,81.53,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 8:27,1,5.05,8.673,3.623,81.38,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 9:27,1,4.99,8.609,3.623,81.02,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 10:27,1,4.93,8.551,3.623,80.97,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 11:27,1,4.9,8.522,3.623,80.44,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 12:27,1,5.22,8.841,3.623,80.13,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 13:27,1,5.37,8.994,3.623,80.2,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 14:27,1,5.12,8.743,3.623,80.36,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 15:27,1,5.22,8.844,3.623,80.7,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 16:27,1,5.34,8.959,3.623,81.09,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 17:27,1,5.53,9.157,3.623,80.18,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 18:27,1,5.53,9.158,3.623,81.31,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 19:27,1,5.6,9.228,3.623,81.39,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 20:27,1,5.66,9.279,3.623,81.6,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 21:27,1,5.75,9.37,3.623,81.54,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 22:27,1,5.82,9.447,3.623,81.66,,,,ColiMinder,PASS
Leander,GUS,08/11/2025 23:27,1,5.94,9.561,3.623,81.71,,,,ColiMinder,PASS
Leander,GUS,09/11/2025 0:27,1,5.81,9.432,3.623,81.67,,,,ColiMinder,PASS
Leander,GUS,09/11/2025 1:27,1,5.94,9.463,3.525,81.77,,,,ColiMinder,PASS
Leander,GUS,09/11/2025 2:27,1,5.88,9.406,3.525,81.84,,,,ColiMinder,PASS
Leander,GUS,09/11/2025 3:27,1,5.71,9.234,3.525,81.67,,,,ColiMinder,PASS
Leander,GUS,09/11/2025 4:27,1,5.52,9.047,3.525,81.87,,,,ColiMinder,PASS
