Time (UTC),eStateEval,duration,Sample Numb.,mUraw,mUoffset,Activity,mUconfidence,transCorrMean,AssayType,Notes,TempDataLog,TempCH3,TransHigh,SamTrans,SamFluor,origin,overall_dq_check
17/07/2025 12:18,0,392.03693,1,52.770878,3.706673,49.064205,0.9999885,0.9616413,300,Gus,34.38,25.05,0.0,3.6299,0.125,ColiMinder,PASS
17/07/2025 12:45,0,392.00604,1,53.01581,3.706673,49.309135,0.9999904,0.960816,300,50,35.31,24.89,0.0,3.6276,0.1243,ColiMinder,PASS
17/07/2025 13:17,0,392.00696,1,52.935562,3.706673,49.22889,0.9999889,0.96048176,300,50,35.25,24.75,0.0,3.6618,0.1241,ColiMinder,PASS
17/07/2025 13:46,0,392.00494,1,55.938457,3.706673,52.231785,0.99998903,0.9609142,300,50,35.13,24.76,0.0,3.66,0.1239,ColiMinder,PASS
18/07/2025 08:25,0,392.00507,1,7.9827304,3.8609788,4.121752,0.9998814,0.96051806,300,gus,32.56,26.03,0.0,3.6443,0.1296,ColiMinder,PASS
22/07/2025 10:54,0,391.98004,1,4.9231586,3.5609398,1.3622189,0.99951106,0.9513903,300,100,36.56,24.63,0.0,3.6198,0.2717,ColiMinder,PASS
22/07/2025 13:03,0,391.979,1,117.07357,3.5609398,113.512634,0.9999911,0.94857967,300,100,38.0,24.14,0.0,3.6377,0.1292,ColiMinder,PASS
23/07/2025 11:57,0,392.00293,1,55.59137,3.567651,52.02372,0.9999948,0.9646863,300,gus,35.38,24.69,0.0,3.63135,0.1269,ColiMinder,PASS
23/07/2025 12:59,0,391.989,1,55.70239,3.567651,52.13474,0.9999874,0.9644984,300,gus,36.19,24.49,0.0,3.6491,0.1268,ColiMinder,PASS
20/09/2025 12:02,0,391.99402,1,7.762086,4.3253565,3.4367294,0.999387,0.8196729,300,1 sampling test,29.69,31.69,0.0,2.8491,0.5371,ColiMinder,PASS
20/09/2025 13:10,0,391.99597,1,8.257903,4.3253565,3.9325466,0.999315,0.8164295,300,Tartu,32.31,30.08,0.0,2.842,0.5363,ColiMinder,PASS
20/09/2025 14:10,0,391.997,1,7.2050166,4.3253565,2.8796601,0.99877375,0.81945515,300,Tartu,29.88,28.77,0.0,2.8441,0.5379,ColiMinder,PASS
20/09/2025 15:10,0,391.998,1,6.6605864,4.3253565,2.3352299,0.9981848,0.8203516,300,Tartu,29.44,29.1,0.0,2.8387,0.5407,ColiMinder,PASS
20/09/2025 16:10,0,394.0,1,6.5943637,4.3253565,2.2690072,0.9983623,0.82098883,300,Tartu,29.13,29.29,0.0,2.8465,0.54,ColiMinder,PASS
20/09/2025 17:10,0,391.995,1,6.489035,4.3253565,2.1636786,0.99911886,0.8207669,300,Tartu,31.88,29.45,0.0,2.8371,0.5409,ColiMinder,PASS
20/09/2025 18:10,0,391.99402,1,6.5868897,4.3253565,2.2615333,0.9992523,0.8203787,300,Tartu,33.75,28.33,0.0,2.8366,0.5388,ColiMinder,PASS
20/09/2025 19:10,0,391.982,1,6.6831303,4.3253565,2.3577738,0.99962944,0.8198206,300,Tartu,34.75,27.28,0.0,2.8375,0.5376,ColiMinder,PASS
20/09/2025 20:10,0,392.034,1,6.6859593,4.3253565,2.3606029,0.9997465,0.8205408,300,Tartu,35.63,26.79,0.0,2.8418999,0.53735,ColiMinder,PASS
20/09/2025 21:10,0,391.96094,1,6.813137,4.3253565,2.4877806,0.99964947,0.82083905,300,Tartu,36.38,26.44,0.0,2.8376,0.5366,ColiMinder,PASS
20/09/2025 22:10,0,392.00604,1,6.9884624,4.3253565,2.663106,0.99951684,0.82110023,300,Tartu,36.88,25.75,0.0,2.8381,0.5351,ColiMinder,PASS
20/09/2025 23:10,0,391.99896,1,7.2326584,4.3253565,2.907302,0.99981403,0.82055795,300,Tartu,37.31,25.03,0.0,2.8387,0.5351,ColiMinder,PASS
21/09/2025 00:10,0,392.00098,1,7.3026743,4.3253565,2.9773178,0.999766,0.82208323,300,Tartu,37.63,24.7,0.0,2.8416,0.5363,ColiMinder,PASS
21/09/2025 01:10,0,392.00208,1,7.386597,4.3253565,3.0612407,0.9997466,0.82212865,300,Tartu,37.88,24.62,0.0,2.8446,0.53540003,ColiMinder,PASS
21/09/2025 02:10,0,391.99707,1,7.298243,4.3253565,2.9728866,0.9995448,0.8217778,300,Tartu,38.13,24.32,0.0,2.8433,0.5349,ColiMinder,PASS
21/09/2025 03:10,0,391.99896,1,8.34716,4.3253565,4.021804,0.9997178,0.82087815,300,Tartu,38.25,24.0,0.0,2.8456,0.5356,ColiMinder,PASS
21/09/2025 04:10,0,392.00098,1,8.050459,4.3253565,3.7251024,0.9998453,0.8216931,300,Tartu,38.44,23.89,0.0,2.8472,0.5369,ColiMinder,PASS
21/09/2025 05:10,0,391.99994,1,8.784186,4.3253565,4.45883,0.9998304,0.8218695,300,Tartu,38.38,23.92,0.0,2.8513,0.5358,ColiMinder,PASS
21/09/2025 06:10,0,391.99805,1,8.472699,4.3253565,4.1473427,0.99983495,0.8214427,300,Tartu,38.81,23.82,0.0,2.8589,0.5336,ColiMinder,PASS
21/09/2025 07:10,0,392.00403,1,8.899021,4.3253565,4.5736647,0.9998805,0.8222114,300,Tartu,39.38,23.44,0.0,2.8446,0.5345,ColiMinder,PASS
21/09/2025 08:10,0,392.026,1,11.383925,4.3253565,7.058569,0.99989974,0.8219587,300,Tartu,39.94,23.1,0.0,2.8509,0.5342,ColiMinder,PASS
21/09/2025 09:10,0,391.97998,1,10.9247675,4.3253565,6.599411,0.9999069,0.82264936,300,Tartu,40.69,22.87,0.0,2.8482,0.5321,ColiMinder,PASS
21/09/2025 10:10,0,392.00806,1,9.078676,4.3253565,4.7533197,0.99976695,0.82332253,300,Tartu,41.56,22.27,0.0,2.8541,0.5304,ColiMinder,PASS
