TimeStamp,BGA PC RFU,Chlorophyll RFU,Cond uS/cm,fDOM RFU,microFlu_TRP,pH,Signal strength,Temp C,Turbidity,Timestamp (UTC),Activity,Sample Numb.,origin,overall_dq_check,maintenance_flag,Turbidity_NTU_numeric_flag,Turbidity_NTU_completeness_flag,Turbidity_NTU_format_flag,Turbidity_NTU_range_flag,Turbidity_NTU_nonnegative_flag,Turbidity_NTU_flatline_flag,Turbidity_NTU_qc_flag,Temp_C_numeric_flag,Temp_C_completeness_flag,Temp_C_format_flag,Temp_C_range_flag,Temp_C_flatline_flag,Temp_C_qc_flag,Conductivity_uScm_numeric_flag,Conductivity_uScm_completeness_flag,Conductivity_uScm_format_flag,Conductivity_uScm_range_flag,Conductivity_uScm_nonnegative_flag,Conductivity_uScm_flatline_flag,Conductivity_uScm_qc_flag,pH_numeric_flag,pH_completeness_flag,pH_format_flag,pH_range_flag,pH_flatline_flag,pH_qc_flag,Tryptophan_ugL_numeric_flag,Tryptophan_ugL_completeness_flag,Tryptophan_ugL_format_flag,Tryptophan_ugL_range_flag,Tryptophan_ugL_nonnegative_flag,Tryptophan_ugL_flatline_flag,Tryptophan_ugL_qc_flag,fDOM_RFU_numeric_flag,fDOM_RFU_completeness_flag,fDOM_RFU_format_flag,fDOM_RFU_range_flag,fDOM_RFU_nonnegative_flag,fDOM_RFU_flatline_flag,fDOM_RFU_qc_flag,Chlorophyll_RFU_numeric_flag,Chlorophyll_RFU_completeness_flag,Chlorophyll_RFU_format_flag,Chlorophyll_RFU_range_flag,Chlorophyll_RFU_nonnegative_flag,Chlorophyll_RFU_flatline_flag,Chlorophyll_RFU_qc_flag,BGA_PC_RFU_numeric_flag,BGA_PC_RFU_completeness_flag,BGA_PC_RFU_format_flag,BGA_PC_RFU_range_flag,BGA_PC_RFU_nonnegative_flag,BGA_PC_RFU_flatline_flag,BGA_PC_RFU_qc_flag,TimeStamp_completeness_flag,TimeStamp_qc_flag,Sample_Numb_numeric_flag,Sample_Numb_completeness_flag,Sample_Numb_format_flag,Sample_Numb_range_flag,Sample_Numb_nonnegative_flag,Sample_Numb_allowed_values_flag,Sample_Numb_qc_flag,Activity_numeric_flag,Activity_completeness_flag,Activity_format_flag,Activity_range_flag,Activity_nonnegative_flag,Activity_flatline_flag,Activity_qc_flag,Time_UTC_completeness_flag,Time_UTC_qc_flag
,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
dd-mm-yyyy hh:mm:ss,RFU,RFU,uS/cm,RFU,g/L,pH,dBm,C,NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2026 15:00:00,0.88,0.16,206.81,12.45,19.59,8.01,-31.00,5.10,0.46,,,,Combined,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
26-01-2026 15:05:00,0.90,0.17,206.95,12.47,19.41,8.01,,5.10,0.43,,,,Combined,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
26-01-2026 15:10:00,0.84,0.16,207.01,12.43,19.82,8.01,,5.10,0.43,,,,Combined,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
26-01-2026 15:15:00,0.87,0.13,206.88,12.47,19.91,8.01,,5.11,0.42,,,,Combined,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
26-01-2026 15:20:00,0.93,0.14,206.85,12.52,18.90,8.01,,5.12,0.43,,,,Combined,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
26-01-2026 15:25:00,0.84,0.17,206.76,12.45,19.77,8.01,,5.11,0.40,26-01-2026 15:23:33,7.4277725,1,Combined,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
26-01-2026 15:30:00,0.87,0.12,206.88,12.45,19.25,8.01,,5.12,0.43,,,,Combined,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
