UID;eStateEval;duration;activeSample;mUraw;mUoffset;mU;mUconfidence;transCorrMean;AssayType;Notes;TempDataLog;TempCH3;TransHigh;SamTrans;SamFluor
1752738223;0;391.985;0;2.4531882;0.0;2.4531882;0.99878937;0.97373086;300;;33.69;24.97;0.0;0.0;0.0
1752739712;0;391.98004;0;2.5253942;0.0;2.5253942;0.99905163;0.97346514;300;;33.69;24.85;0.0;0.0;0.0
1752741201;0;391.997;0;2.40531;0.0;2.40531;0.9986618;0.9738884;300;;33.63;24.97;0.0;0.0;0.0
1752746136;0;391.99194;0;3.8261716;0.0;3.8261716;0.99970055;0.96821386;300;;31.63;25.18;0.0;0.0;0.0
1752748346;0;391.99603;0;4.2098374;0.0;4.2098374;0.9994154;0.9661544;300;;31.75;25.36;0.0;0.0;0.0
1752753127;0;391.98297;0;3.706673;0.0;3.706673;0.9994236;0.96681696;300;;33.25;25.4;0.0;0.0;0.0
1752754711;0;392.03693;1;52.770878;3.706673;49.064205;0.9999885;0.9616413;300;Gus;34.38;25.05;0.0;3.6299;0.125
1752756338;0;392.00604;1;53.01581;3.706673;49.309135;0.9999904;0.960816;300;50;35.31;24.89;0.0;3.6276;0.1243
1752758278;0;392.00696;1;52.935562;3.706673;49.22889;0.9999889;0.96048176;300;50;35.25;24.75;0.0;3.6618;0.1241
1752760001;0;392.00494;1;55.938457;3.706673;52.231785;0.99998903;0.9609142;300;50;35.13;24.76;0.0;3.66;0.1239
1752822427;0;393.98798;0;3.9206192;0.0;3.9206192;0.9995075;0.968244;300;;32.5;26.0;0.0;0.0;0.0
1752823946;0;392.03296;0;3.8536644;0.0;3.8536644;0.9992955;0.96845794;300;;32.44;25.94;0.0;0.0;0.0
1752825469;0;391.98303;0;3.8609788;0.0;3.8609788;0.99935615;0.96873236;300;;32.44;25.94;0.0;0.0;0.0
1752827140;0;392.00507;1;7.9827304;3.8609788;4.121752;0.9998814;0.96051806;300;gus;32.56;26.03;0.0;3.6443;0.1296
1753090382;0;392.0;0;4.2594647;0.0;4.2594647;0.99836105;0.9645217;300;;39.19;23.36;0.0;0.0;0.0
1753091867;0;391.98206;0;4.332743;0.0;4.332743;0.9984916;0.9638835;300;;39.75;23.19;0.0;0.0;0.0
1753093350;0;392.028;0;4.3309097;0.0;4.3309097;0.9989516;0.96439433;300;;40.25;23.04;0.0;0.0;0.0
